name,price,protein,calories/100g(kcal),total_fat,saturated_fat,trans_fat,carbohydrate,dietary_fiber,total_sugars,cholesterol (mg),sodium (mg),calcium (mg),iron (mg),zinc (mg),vitamin_a,vitamin_b,vitamin_c,vitamin_d,filename
gạo lứt,4000,2.6,111,0.9,0.2,0,23,1.8,0.4,0,5,10,4,0.9,na,na,na,na,gaolut.jpg
ức gà,7500,31,165,3.6,1,0,0,0,0,73,74,8,7,0.6,na,na,na,na,ucga.jpg
tôm,11000,24,99,0.3,0.1,0,0,0,0,189,414,38,12,1.4,na,na,na,na,tom.jpg
bông cải xanh,3500,2.8,34,0.4,0.1,0,7,2.6,1.7,0,33,47,73,0.41,0.000623,0.063,0.0892,0.047,bongcaixanh.jpg
cà rốt,2000,0.9,41,0.2,0.003,0,19,2.8,4.7,0,69,33,0.3,0.24,0.835,0.000983,0.0059,na,carrot.jpg
nấm,2500,3.1,22,0.3,0,0,3.3,1,1.7,0,5,2,0.5,1.1,0,0.0035,0.0021,na,nam.jpg
cá hồi,16000,22,206,13,2.5,0,0,0,0,55,59,12,0.9,0.7,0.000009,0,0,0.0000125,cahoi.jpg
bơ,3500,0.85,717,81.11,51.3,3.043,0.06,0,0.06,215,714,24,20,90,0.0002499,0,0,0.000003,bo.jpg
trứng gà,4500,12.6,143,9.5,3.1,0,1.1,0,1.1,372,142,56,0.175,0.129,,,,,trungga.jpg
khoai lang,2500,1.6,86,0.1,0,0,20.1,3,4.2,0,55,30,0.7,0.3,,,,,khoailang.jpg
đậu cove,2500,1.8,31,0.2,0,0,7.1,2.7,3.3,0,6,37,1,0.2,,,,,daucove.jpg
dâu tây,5500,0.7,32,0.3,0,0,7.7,2,4.9,0,1,16,0.4,0.1,,,,,dautay.jpg
trứng vịt,5500,9.6,185,13.8,4.3,0.3,1.2,0,0.3,884,147,64,3.8,1.4,,,,,trungvit.jpg
salad,3500,1.5,45,2.3,0,0,6.1,0,0,0,2,23,0,0,,,,,salad.jpg
ớt chuông,5000,0.9,31,0.3,0.1,0,6.3,2.1,4.2,0,1,10,0.4,0.2,,,,,otchuong.jpg
măng tây,3500,2.2,20,0.2,0,0,3.7,2,1.9,0,2,24,1.1,0.5,,,,,mangtay.jpg
bí ngòi,3000,0.6,14,0.1,0,0,3.6,0.5,1,0,2,11,0.3,0.2,,,,,bingoi.jpg
khoai lang tím,3000,1.6,86,0.2,0.1,0,20.1,3,4.2,0,55,30,0.7,0.3,,,,,khoailangtim.jpg
ngô non,4000,1.7,27,0.3,0,0,6.3,1.7,1.9,0,10,6,0.7,0.2,,,,,ngonon.jpg
bắp cải tím,3500,1.4,31,0.2,0,0,7.4,2.3,3.2,0,18,40,0.7,0.3,,,,,bapcaitim.jpg
thịt bò bằm,6500,17.4,250,20,8.1,0.8,0,0,0,80,70,10,2.3,4.2,,,,,thitbobam.jpg
cải chíp,3500,2,19,0.3,0,0,3.6,1.6,0.7,0,40,79,1.1,0.7,,,,,caichip.jpg
cà chua bi,3000,0.9,18,0.2,0,0,3.9,1.2,2.6,0,10,10,0.3,0.2,,,,,cachuabi.jpg
nui,4500,13,137,1.5,0.3,0,75.1,2.5,1,0,5,13,4.1,1,,,,,nui.jpg
yến mạch,4000,16.9,70,6.9,1.2,0,66.3,10.6,0.8,0,2,54,4.7,3.6,,,,,yenmach.jpg
nho khô,7000,2.5,299,0.5,0.1,0,79.2,3.7,59.2,0,11,50,1.9,0.5,,,,,nhokho.jpg
rong biển,5000,2.2,47,0.4,0.2,0,10.1,3.2,0,0,22,43,4.1,0.34,,,,,rongbien.jpg
cá ngừ,14000,23.8,116,1,0.3,0,0,0,0,27,389,9,1.2,0.7,,,,,cangu.jpg
thịt lợn thăn,8500,26,143,4,1.4,0,0,0,0,82,50,7,0.9,2.3,,,,,thitlonthan.jpg
thịt bò thăn,12000,26.2,250,17,6.8,0.7,0,0,0,86,56,7,2.6,5.1,,,,,thitbothan.jpg
đậu hũ,2000,8.1,144,8,1.2,0,4.8,1.9,1.5,0,8,350,2.4,1.6,,,,,dauhu.jpg
sữa chua,5000,3.5,61,3.3,2.1,0,4.7,0,4.7,10,36,121,0.1,0.4,,,,,suachua.jpg
mì ý,5500,5.8,158,0.9,0.2,0,31.8,2,0.6,0,1,6,1.4,0.9,,,,,miy.jpeg
ngô,2500,2.4,96,1.5,0.2,0,21,2.4,4.5,0,15,2,0.5,0.4,,,,,ngo.jpg
đùi gà,9000,26.4,172,8.6,2.5,0,0,0,0,98,76,13,1,1,,,,,duiga.jpg
cá rô,9500,19.5,105,2,0.5,0,0,0,0,53,50,20,0.5,0.5,,,,,caro.jpg
cá lóc,10000,26.1,105,2,0.5,0,0,0,0,50,40,20,0.5,0.5,,,,,caloc.jpg
gạo trắng,3000,7,148,0.7,0.2,0,80,1.4,0.1,0,1,10,0.8,0.2,,,,,comtrang.jpeg
cá trê,5000,22.2,104,3,1,0,0,0,0,50,50,10,0.4,0.5,,,,,catre.jpg
